Spherical Mercator (ESPG:900913) coordinates for lat/lon: 
(5403381.291411024, 1352173.2960999412)
Spherical Mercator (ESPG:900913) cooridnate for maxlat/maxlon: 
(5684897.151678133, 2142354.2060404825)
x     y     z
1300 954 11
1301 954 11
1302 954 11
1303 954 11
1304 954 11
1305 954 11
1306 954 11
1307 954 11
1308 954 11
1309 954 11
1310 954 11
1311 954 11
1312 954 11
1313 954 11
1314 954 11
1300 953 11
1301 953 11
1302 953 11
1303 953 11
1304 953 11
1305 953 11
1306 953 11
1307 953 11
1308 953 11
1309 953 11
1310 953 11
1311 953 11
1312 953 11
1313 953 11
1314 953 11
1300 952 11
1301 952 11
1302 952 11
1303 952 11
1304 952 11
1305 952 11
1306 952 11
1307 952 11
1308 952 11
1309 952 11
1310 952 11
1311 952 11
1312 952 11
1313 952 11
1314 952 11
1300 951 11
1301 951 11
1302 951 11
1303 951 11
1304 951 11
1305 951 11
1306 951 11
1307 951 11
1308 951 11
1309 951 11
1310 951 11
1311 951 11
1312 951 11
1313 951 11
1314 951 11
1300 950 11
1301 950 11
1302 950 11
1303 950 11
1304 950 11
1305 950 11
1306 950 11
1307 950 11
1308 950 11
1309 950 11
1310 950 11
1311 950 11
1312 950 11
1313 950 11
1314 950 11
1300 949 11
1301 949 11
1302 949 11
1303 949 11
1304 949 11
1305 949 11
1306 949 11
1307 949 11
1308 949 11
1309 949 11
1310 949 11
1311 949 11
1312 949 11
1313 949 11
1314 949 11
1300 948 11
1301 948 11
1302 948 11
1303 948 11
1304 948 11
1305 948 11
1306 948 11
1307 948 11
1308 948 11
1309 948 11
1310 948 11
1311 948 11
1312 948 11
1313 948 11
1314 948 11
1300 947 11
1301 947 11
1302 947 11
1303 947 11
1304 947 11
1305 947 11
1306 947 11
1307 947 11
1308 947 11
1309 947 11
1310 947 11
1311 947 11
1312 947 11
1313 947 11
1314 947 11
1300 946 11
1301 946 11
1302 946 11
1303 946 11
1304 946 11
1305 946 11
1306 946 11
1307 946 11
1308 946 11
1309 946 11
1310 946 11
1311 946 11
1312 946 11
1313 946 11
1314 946 11
1300 945 11
1301 945 11
1302 945 11
1303 945 11
1304 945 11
1305 945 11
1306 945 11
1307 945 11
1308 945 11
1309 945 11
1310 945 11
1311 945 11
1312 945 11
1313 945 11
1314 945 11
1300 944 11
1301 944 11
1302 944 11
1303 944 11
1304 944 11
1305 944 11
1306 944 11
1307 944 11
1308 944 11
1309 944 11
1310 944 11
1311 944 11
1312 944 11
1313 944 11
1314 944 11
1300 943 11
1301 943 11
1302 943 11
1303 943 11
1304 943 11
1305 943 11
1306 943 11
1307 943 11
1308 943 11
1309 943 11
1310 943 11
1311 943 11
1312 943 11
1313 943 11
1314 943 11
1300 942 11
1301 942 11
1302 942 11
1303 942 11
1304 942 11
1305 942 11
1306 942 11
1307 942 11
1308 942 11
1309 942 11
1310 942 11
1311 942 11
1312 942 11
1313 942 11
1314 942 11
1300 941 11
1301 941 11
1302 941 11
1303 941 11
1304 941 11
1305 941 11
1306 941 11
1307 941 11
1308 941 11
1309 941 11
1310 941 11
1311 941 11
1312 941 11
1313 941 11
1314 941 11
1300 940 11
1301 940 11
1302 940 11
1303 940 11
1304 940 11
1305 940 11
1306 940 11
1307 940 11
1308 940 11
1309 940 11
1310 940 11
1311 940 11
1312 940 11
1313 940 11
1314 940 11
1300 939 11
1301 939 11
1302 939 11
1303 939 11
1304 939 11
1305 939 11
1306 939 11
1307 939 11
1308 939 11
1309 939 11
1310 939 11
1311 939 11
1312 939 11
1313 939 11
1314 939 11
1300 938 11
1301 938 11
1302 938 11
1303 938 11
1304 938 11
1305 938 11
1306 938 11
1307 938 11
1308 938 11
1309 938 11
1310 938 11
1311 938 11
1312 938 11
1313 938 11
1314 938 11
1300 937 11
1301 937 11
1302 937 11
1303 937 11
1304 937 11
1305 937 11
1306 937 11
1307 937 11
1308 937 11
1309 937 11
1310 937 11
1311 937 11
1312 937 11
1313 937 11
1314 937 11
1300 936 11
1301 936 11
1302 936 11
1303 936 11
1304 936 11
1305 936 11
1306 936 11
1307 936 11
1308 936 11
1309 936 11
1310 936 11
1311 936 11
1312 936 11
1313 936 11
1314 936 11
1300 935 11
1301 935 11
1302 935 11
1303 935 11
1304 935 11
1305 935 11
1306 935 11
1307 935 11
1308 935 11
1309 935 11
1310 935 11
1311 935 11
1312 935 11
1313 935 11
1314 935 11
1300 934 11
1301 934 11
1302 934 11
1303 934 11
1304 934 11
1305 934 11
1306 934 11
1307 934 11
1308 934 11
1309 934 11
1310 934 11
1311 934 11
1312 934 11
1313 934 11
1314 934 11
1300 933 11
1301 933 11
1302 933 11
1303 933 11
1304 933 11
1305 933 11
1306 933 11
1307 933 11
1308 933 11
1309 933 11
1310 933 11
1311 933 11
1312 933 11
1313 933 11
1314 933 11
1300 932 11
1301 932 11
1302 932 11
1303 932 11
1304 932 11
1305 932 11
1306 932 11
1307 932 11
1308 932 11
1309 932 11
1310 932 11
1311 932 11
1312 932 11
1313 932 11
1314 932 11
1300 931 11
1301 931 11
1302 931 11
1303 931 11
1304 931 11
1305 931 11
1306 931 11
1307 931 11
1308 931 11
1309 931 11
1310 931 11
1311 931 11
1312 931 11
1313 931 11
1314 931 11
1300 930 11
1301 930 11
1302 930 11
1303 930 11
1304 930 11
1305 930 11
1306 930 11
1307 930 11
1308 930 11
1309 930 11
1310 930 11
1311 930 11
1312 930 11
1313 930 11
1314 930 11
1300 929 11
1301 929 11
1302 929 11
1303 929 11
1304 929 11
1305 929 11
1306 929 11
1307 929 11
1308 929 11
1309 929 11
1310 929 11
1311 929 11
1312 929 11
1313 929 11
1314 929 11
1300 928 11
1301 928 11
1302 928 11
1303 928 11
1304 928 11
1305 928 11
1306 928 11
1307 928 11
1308 928 11
1309 928 11
1310 928 11
1311 928 11
1312 928 11
1313 928 11
1314 928 11
1300 927 11
1301 927 11
1302 927 11
1303 927 11
1304 927 11
1305 927 11
1306 927 11
1307 927 11
1308 927 11
1309 927 11
1310 927 11
1311 927 11
1312 927 11
1313 927 11
1314 927 11
1300 926 11
1301 926 11
1302 926 11
1303 926 11
1304 926 11
1305 926 11
1306 926 11
1307 926 11
1308 926 11
1309 926 11
1310 926 11
1311 926 11
1312 926 11
1313 926 11
1314 926 11
1300 925 11
1301 925 11
1302 925 11
1303 925 11
1304 925 11
1305 925 11
1306 925 11
1307 925 11
1308 925 11
1309 925 11
1310 925 11
1311 925 11
1312 925 11
1313 925 11
1314 925 11
1300 924 11
1301 924 11
1302 924 11
1303 924 11
1304 924 11
1305 924 11
1306 924 11
1307 924 11
1308 924 11
1309 924 11
1310 924 11
1311 924 11
1312 924 11
1313 924 11
1314 924 11
1300 923 11
1301 923 11
1302 923 11
1303 923 11
1304 923 11
1305 923 11
1306 923 11
1307 923 11
1308 923 11
1309 923 11
1310 923 11
1311 923 11
1312 923 11
1313 923 11
1314 923 11
1300 922 11
1301 922 11
1302 922 11
1303 922 11
1304 922 11
1305 922 11
1306 922 11
1307 922 11
1308 922 11
1309 922 11
1310 922 11
1311 922 11
1312 922 11
1313 922 11
1314 922 11
1300 921 11
1301 921 11
1302 921 11
1303 921 11
1304 921 11
1305 921 11
1306 921 11
1307 921 11
1308 921 11
1309 921 11
1310 921 11
1311 921 11
1312 921 11
1313 921 11
1314 921 11
1300 920 11
1301 920 11
1302 920 11
1303 920 11
1304 920 11
1305 920 11
1306 920 11
1307 920 11
1308 920 11
1309 920 11
1310 920 11
1311 920 11
1312 920 11
1313 920 11
1314 920 11
1300 919 11
1301 919 11
1302 919 11
1303 919 11
1304 919 11
1305 919 11
1306 919 11
1307 919 11
1308 919 11
1309 919 11
1310 919 11
1311 919 11
1312 919 11
1313 919 11
1314 919 11
1300 918 11
1301 918 11
1302 918 11
1303 918 11
1304 918 11
1305 918 11
1306 918 11
1307 918 11
1308 918 11
1309 918 11
1310 918 11
1311 918 11
1312 918 11
1313 918 11
1314 918 11
1300 917 11
1301 917 11
1302 917 11
1303 917 11
1304 917 11
1305 917 11
1306 917 11
1307 917 11
1308 917 11
1309 917 11
1310 917 11
1311 917 11
1312 917 11
1313 917 11
1314 917 11
1300 916 11
1301 916 11
1302 916 11
1303 916 11
1304 916 11
1305 916 11
1306 916 11
1307 916 11
1308 916 11
1309 916 11
1310 916 11
1311 916 11
1312 916 11
1313 916 11
1314 916 11
1300 915 11
1301 915 11
1302 915 11
1303 915 11
1304 915 11
1305 915 11
1306 915 11
1307 915 11
1308 915 11
1309 915 11
1310 915 11
1311 915 11
1312 915 11
1313 915 11
1314 915 11
1300 914 11
1301 914 11
1302 914 11
1303 914 11
1304 914 11
1305 914 11
1306 914 11
1307 914 11
1308 914 11
1309 914 11
1310 914 11
1311 914 11
1312 914 11
1313 914 11
1314 914 11
